,0
0,108.22541220924566
1,97.84759153495736
2,107.06911008406114
3,106.22821618425696
4,104.69696137667623
5,101.41856953340798
6,87.95467147833881
7,88.55834007821622
8,88.91556775715317
9,102.69578087766999
10,77.3885004151203
11,84.22915551655804
12,104.55990550334806
13,112.15865699946357
14,113.71168317948903
15,115.99151960756441
16,114.63661404438042
17,114.31539870869422
18,115.20089632782064
19,113.73815563524934
20,123.94139515094969
21,127.94653452162436
22,128.65476868286197
23,124.46473355311691
24,125.62909456333236
25,123.40944676113622
26,118.20097226859612
27,123.41668138555046
28,121.80638616020937
29,119.90950729154767
30,118.70549157028411
31,116.14110913023289
