,0
0,76.73817869727529
1,88.01865526908082
2,76.70284434282296
3,84.08869790767241
4,91.95469219438617
5,103.90037255786649
6,157.42013170612572
7,148.1442331122427
8,161.72678953033582
9,162.1861623749838
10,130.9379316132268
11,119.11492091426567
12,118.3681974066769
13,118.5710250995829
14,122.10994757290453
15,125.54422360621268
16,120.04066462651068
17,122.37851536334408
18,121.2384978310303
19,119.97017822377602
20,129.3733182987527
21,131.50652699285249
22,134.68498247578026
23,133.73509143212317
24,134.0359110556135
25,131.90042591549036
26,122.67577618136025
27,132.46752121961532
28,130.5218882514116
29,129.8385949044341
30,129.55721409612016
31,132.2815619867809
