,0
0,96.30800709332674
1,90.24209302965404
2,91.70839283460182
3,87.92134432418399
4,90.13028774505665
5,80.74881063743791
6,78.95133786934872
7,77.08747514178049
8,85.80527289462871
9,96.64028428112431
10,77.97097444226351
11,80.78889144442176
12,98.41071499180148
13,103.09666684495403
14,102.6405964706914
15,103.87533670812684
16,102.96667551486539
17,102.7389762717318
18,103.27717968491481
19,102.42996838938771
20,109.95151152331955
21,113.19474505485081
22,113.57293136335366
23,109.39334355881203
24,110.44599625708324
25,108.18981381570893
26,103.47669809901382
27,108.45080821532065
28,106.81581449237062
29,104.8985065337562
30,103.755529489341
31,101.25107433618402
