,0
0,109.53492045319703
1,116.20634501270219
2,107.15575289652853
3,116.44420369922246
4,124.37500998042489
5,107.09993447997087
6,112.4900969862162
7,96.04706224793492
8,100.14812638610762
9,107.85653879213696
10,87.15073487401801
11,91.30999094757337
12,100.06694376697293
13,102.0755546211695
14,103.01623632818784
15,103.973644641066
16,103.4321185158678
17,104.17801421672453
18,103.0705874286205
19,103.79281566515336
20,113.72424229013637
21,121.91308188626337
22,123.02502063299096
23,120.27950477668028
24,120.07796579275147
25,114.55789147891637
26,105.70664018127454
27,112.34650793339715
28,110.59613486326606
29,111.03596327934409
30,112.08686181603748
31,111.17169173535662
