,0
0,148.07903857281445
1,140.9315533640031
2,142.54113619628686
3,137.44285330948148
4,141.13257873370566
5,106.11194129617986
6,97.7145129537917
7,101.55179107257338
8,102.32678546972267
9,108.32050336156416
10,106.42916222874675
11,109.08831738184126
12,125.43777575766063
13,138.1186394603668
14,131.48469369850608
15,132.80216740609404
16,133.62684254967223
17,134.86334215064707
18,131.99441082240904
19,132.4925291891714
20,138.27512715779073
21,142.9732085552524
22,140.13554200389558
23,130.4613932524103
24,135.66739620212675
25,131.00029265287492
26,123.94554858826126
27,127.80482455474021
28,126.76096197155383
29,120.61534323913695
30,119.46637075612107
31,118.69844495743212
