,0
0,49.43352797252896
1,53.83268595347171
2,63.86780348705285
3,67.02681932103006
4,73.28860263736975
5,146.95365021790096
6,190.60085706545257
7,190.7463323445092
8,216.39682529986058
9,234.6209724473243
10,180.42583901010138
11,146.28768986734605
12,121.3317627118281
13,112.73999816665922
14,116.50497133857917
15,115.12086064985641
16,111.05869841237129
17,111.39466224868457
18,116.5559028760551
19,123.6633199057948
20,110.80129268174638
21,105.61287970351518
22,103.31344097212553
23,105.77716758874303
24,103.8967525143437
25,104.83231266120754
26,115.65827088079757
27,111.44299432074226
28,112.4400980707299
29,118.71234890299516
30,121.77613031116852
31,121.56990610374065
