,0
0,96.30800709332674
1,90.89851568674825
2,91.19743706286332
3,89.85593816590155
4,92.18427525249257
5,102.88213516960248
6,133.39652671972922
7,124.73293349752078
8,140.2656421929912
9,154.27458837885285
10,119.11964096824387
11,105.03208142292299
12,103.345888952926
13,104.70886244583993
14,102.89971809285538
15,103.52254822288323
16,103.19355634583789
17,103.08330850697122
18,102.79386828536974
19,102.47234701258456
20,106.62656859745564
21,109.6874244302781
22,109.94336835934753
23,109.1790316620902
24,109.98609825810024
25,106.53991130654686
26,105.33461480362524
27,107.471133951182
28,107.98218372366009
29,108.24568376056226
30,105.39102372674891
31,104.40523932960294
