,0
0,0.0
1,2.8111249809994323
2,8.425947154742065
3,8.025321373168534
4,12.464012110702834
5,18.083468964885498
6,65.76634651348016
7,50.65619099086316
8,60.12125519546436
9,69.96120292962628
10,59.268302105821235
11,48.67883352635357
12,44.44351699301997
13,42.92361013298176
14,42.02481438107045
15,41.23801012245802
16,38.1892977909477
17,37.229411986843324
18,37.04699441778611
19,36.9713155817051
20,36.79515395362266
21,34.94079710717217
22,34.29547503872929
23,34.22139388099331
24,34.30797504130902
25,34.464744939478656
26,32.192305445686834
27,28.58255520489126
28,28.277967984699977
29,29.676921958835752
30,29.543301947712234
31,27.68003321469149
