,0
0,72.8214285714
1,84.8554216867
2,85.7536231884
3,105.14492753620002
4,106.7126436782
5,78.0681818182
6,106.5125
7,90.88636363639999
8,142.6470588235
9,154.0340909091
10,160.5294117647
11,330.94666666669997
12,294.6470588235
13,242.3950617284
14,171.1162790698
15,236.4523809524
16,254.98765432099998
17,238.16470588240003
18,236.48
19,559.2
20,673.7692307692
21,414.4578313253
22,645.7976190476
23,629.375
24,278.4512195122
25,225.5416666667
26,200.9846153846
27,269.08196721310003
28,305.9242424242
29,250.7692307692
30,286.01923076919996
31,306.2857142857
32,285.8181818182
33,312.8591549296
34,120.9318181818
35,113.125
36,293.0
37,289.619047619
38,218.4375
39,320.0677966102
40,434.7818181818
41,238.89130434779997
42,293.4047619048
43,406.6285714286
44,310.9558823529
45,287.7222222222
46,334.8947368421
47,389.8157894737
