,0
0,75.1248101266
1,80.3433333333
2,96.1841269841
3,35.448064516100004
4,73.6244927536
5,42.932794117600004
6,67.3105714286
7,65.1009589041
8,61.7192592593
9,124.0492307692
10,90.45193548389999
11,277.3295454545
12,87.825
13,172.972
14,36.0727272727
15,58.7153125
16,59.828
17,163.0778571429
18,113.83
19,525.9114285713998
20,466.7166666667
21,303.4728571429
22,357.5175
23,334.8527272727
24,128.3277777778
25,164.6791666667
26,149.1454166667
27,165.8344444444
28,143.4091666667
29,130.7060869565
30,133.51875
31,142.0195833333
32,164.7356521739
33,174.2209090909
34,73.3229411765
35,65.877826087
36,94.0588888889
37,119.4145833333
38,109.77125
39,131.4347826087
40,161.218
41,92.80625
42,137.49
43,207.88
44,176.35375
45,207.4276470588
46,230.1273913043
47,215.07260869569998
