,0
0,73.4473684211
1,81.124137931
2,93.2236842105
3,108.0772727273
4,79.9074074074
5,96.59454545450001
6,86.619047619
7,144.6611111111
8,89.4232142857
9,78.0754716981
10,110.03859649120001
11,188.66296296299998
12,142.6042253521
13,130.15217391299998
14,96.9357142857
15,108.8859375
16,126.32142857139999
17,139.1083333333
18,74.2927272727
19,408.0616666667
20,341.2733333333
21,326.4054054054
22,313.8691358025
23,270.82125
24,129.0779661017
25,172.47543859650003
26,131.84230769229998
27,146.08863636360002
28,117.548
29,129.0739130435
30,148.4339622642
31,159.8153846154
32,144.6267857143
33,171.9
34,69.4869565217
35,63.6653061224
36,99.1853658537
37,139.9893939394
38,81.2902439024
39,130.2837837838
40,184.22
41,84.8611111111
42,143.8981132075
43,130.6939393939
44,134.7984126984
45,123.8590909091
46,141.3583333333
47,153.4236363636
