,0
0,52.3570238095
1,59.8669736842
2,71.157755102
3,69.0234
4,73.97421875
5,69.2422222222
6,65.61857142859999
7,61.446125
8,104.57283950620001
9,97.3582352941
10,104.36674698799999
11,353.7955555556
12,686.9966666667
13,155.291
14,143.665
15,110.9817647059
16,197.38777777779998
17,152.6642857143
18,181.322
19,558.7057142857
20,310.83
21,260.35333333330004
22,393.3111111111
23,399.908
24,197.759
25,186.41583333330001
26,164.6479166667
27,173.8522727273
28,178.15833333330002
29,155.6508333333
30,167.6420833333
31,146.17434782610002
32,178.4670588235
33,120.907
34,84.326875
35,76.9222727273
36,95.4276923077
37,120.51
38,117.17277777780001
39,168.9245833333
40,205.87
41,101.8379166667
42,195.3304545455
43,212.55222222220002
44,171.93916666669998
45,223.22416666669997
46,223.9292857143
47,265.8414285714
