,0
0,59.7283950617
1,79.8
2,87.0357142857
3,75.5849056604
4,81.7361111111
5,83.47945205479999
6,82.2916666667
7,79.52
8,125.2083333333
9,113.31578947370001
10,127.527027027
11,243.6744186047
12,278.5897435897
13,235.1071428571
14,169.3333333333
15,107.84
16,179.46153846150003
17,163.83720930229998
18,180.2666666667
19,677.7894736842
20,624.8431372549
21,409.0769230769
22,441.1470588235
23,478.175
24,177.61538461540005
25,170.75
26,119.7142857143
27,127.0
28,258.2
29,157.6
30,142.2
31,155.1111111111
32,164.5
33,196.0
34,127.14285714290001
35,89.0666666667
36,137.0666666667
37,198.5428571429
38,140.6
39,209.12
40,365.6842105263
41,140.8125
42,198.46666666669998
43,186.4
44,218.0
45,225.65
46,277.5217391304
47,292.6
