,0
0,42.238305084699995
1,48.501807228900006
2,62.1985483871
3,54.3672916667
4,48.716507936499994
5,62.78109375
6,52.338076923100004
7,51.829382716000005
8,75.26352941180001
9,66.032962963
10,79.4423170732
11,195.2573333333
12,129.94
13,128.6057142857
14,108.4913333333
15,112.0516666667
16,132.5966666667
17,104.4785714286
18,111.64333333329999
19,535.9378571429
20,368.43083333330003
21,229.566
22,289.495
23,349.0804166667
24,144.1648
25,135.2229166667
26,104.2808333333
27,118.0759090909
28,130.1020833333
29,121.5033333333
30,117.0108333333
31,127.9825
32,121.0447826087
33,136.5582608696
34,51.7563636364
35,58.400869565200004
36,80.52916666670002
37,121.94
38,86.57111111110001
39,112.4425
40,135.07399999999998
41,56.4375
42,126.0605
43,147.7504761905
44,150.7558333333
45,140.8156521739
46,172.7934782609
47,182.8908333333
