,Station,Latitude,Longitude,Date,PM2.5
0,Anand Vihar,28.6508,77.3152,2017-09-25,65.0147058824
1,"Aya Nagar, Delhi - IMD",28.4706914,77.1099364,2017-09-25,66.53333333329999
2,"Burari Crossing, Delhi - IMD",28.7256504,77.2011573,2017-09-25,64.1055737705
3,"CRRI Mathura Road, Delhi - IMD",28.5512005,77.2735737,2017-09-25,84.16012345680001
4,Delhi Technological University,28.744,77.12,2017-09-25,72.8214285714
5,"IGI Airport Terminal-3, Delhi - IMD",28.5627763,77.1180053,2017-09-25,75.1248101266
6,IHBAS,28.6821,77.305,2017-09-25,73.4473684211
7,Income Tax Office,28.6235,77.2494,2017-09-25,90.5256410256
8,"Lodhi Road, Delhi - IMD",28.5918245,77.2273074,2017-09-25,52.3570238095
9,Mandir Marg,28.6341,77.2005,2017-09-25,59.7283950617
10,NSIT Dwarka,28.591,77.05,2017-09-25,76.7205128205
11,"North Campus, Delhi - IMD",28.6573814,77.1585447,2017-09-25,87.5686585366
12,Punjabi Bagh,28.6683,77.1167,2017-09-25,65.4927536232
13,"Pusa, Delhi - IMD",28.639645,77.146262,2017-09-25,42.238305084699995
14,R K Puram,28.5648,77.1744,2017-09-25,94.8205128205
15,Shadipur,28.6517,77.1581,2017-09-25,60.0010869565
16,Siri Fort,28.5504249,77.2159377,2017-09-25,61.4347826087
17,Anand Vihar,28.6508,77.3152,2017-09-26,110.2452830189
18,"Aya Nagar, Delhi - IMD",28.4706914,77.1099364,2017-09-26,71.4290666667
19,"Burari Crossing, Delhi - IMD",28.7256504,77.2011573,2017-09-26,63.615
20,"CRRI Mathura Road, Delhi - IMD",28.5512005,77.2735737,2017-09-26,92.5756164384
21,Delhi Technological University,28.744,77.12,2017-09-26,84.8554216867
22,"IGI Airport Terminal-3, Delhi - IMD",28.5627763,77.1180053,2017-09-26,80.3433333333
23,IHBAS,28.6821,77.305,2017-09-26,81.124137931
24,Income Tax Office,28.6235,77.2494,2017-09-26,107.20967741940001
25,"Lodhi Road, Delhi - IMD",28.5918245,77.2273074,2017-09-26,59.8669736842
26,Mandir Marg,28.6341,77.2005,2017-09-26,79.8
27,NSIT Dwarka,28.591,77.05,2017-09-26,91.3620253165
28,"North Campus, Delhi - IMD",28.6573814,77.1585447,2017-09-26,95.4046666667
29,Punjabi Bagh,28.6683,77.1167,2017-09-26,68.34426229510001
30,"Pusa, Delhi - IMD",28.639645,77.146262,2017-09-26,48.501807228900006
31,R K Puram,28.5648,77.1744,2017-09-26,117.7627118644
